Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
6.75,1.3733,0.01505,0.00851,-0.1482,0.4847,1
7,1.3838,0.01563,0.00895,-0.1448,0.4535,1
7.25,1.3922,0.01629,0.00948,-0.1412,0.4212,1
7.5,1.3999,0.01704,0.01008,-0.1376,0.3888,1
7.75,1.4071,0.01787,0.01076,-0.134,0.3568,1
8,1.4139,0.01878,0.01152,-0.1305,0.3262,1
8.25,1.4209,0.01975,0.01235,-0.1272,0.2968,1
8.5,1.4285,0.02076,0.01325,-0.1241,0.2693,1
8.75,1.4357,0.02185,0.01422,-0.1211,0.2446,1
9,1.443,0.02299,0.01526,-0.1182,0.2222,1
9.25,1.4499,0.02422,0.01639,-0.1154,0.2033,1
9.5,1.4585,0.02541,0.01754,-0.1129,0.1856,1
9.75,1.4667,0.02667,0.01875,-0.1105,0.1707,1
10,1.4742,0.02802,0.02005,-0.1081,0.158,1
10.25,1.4823,0.02937,0.02137,-0.1058,0.1466,1
10.5,1.4921,0.03066,0.0227,-0.1038,0.1361,1
10.75,1.4999,0.03214,0.02419,-0.1017,0.1272,1
11,1.5071,0.03369,0.02571,-0.0997,0.1192,1
11.25,1.5166,0.03512,0.02723,-0.0979,0.1117,1
11.5,1.5226,0.0369,0.02895,-0.096,0.1052,1
11.75,1.5324,0.03834,0.03053,-0.0944,0.099,1
12,1.5392,0.04009,0.03228,-0.0927,0.0937,1
12.25,1.5477,0.04181,0.0341,-0.0911,0.0887,1
12.5,1.5554,0.0435,0.03587,-0.0896,0.0841,1
12.75,1.5628,0.04553,0.03784,-0.0882,0.0797,1
13,1.5702,0.04727,0.0398,-0.0868,0.076,1
13.25,1.5768,0.04917,0.04178,-0.0856,0.0724,1
13.5,1.5854,0.05128,0.04383,-0.0844,0.0687,1
13.75,1.5902,0.05336,0.04615,-0.0832,0.0659,1
14,1.5953,0.05552,0.04843,-0.0821,0.0629,1
14.25,1.6005,0.05777,0.0507,-0.0812,0.0603,1
14.5,1.6074,0.06016,0.05321,-0.0802,0.0576,1
14.75,1.61,0.06275,0.05601,-0.0793,0.0553,1
15,1.6133,0.06531,0.05869,-0.0786,0.0531,1
15.25,1.6181,0.06778,0.06118,-0.078,0.0511,1
15.5,1.6234,0.07062,0.06412,-0.0772,0.049,1
15.75,1.6213,0.07396,0.06773,-0.0768,0.0474,1
16,1.62,0.07731,0.07126,-0.0766,0.0458,1
16.25,1.6201,0.08049,0.07457,-0.0765,0.0444,1
16.5,1.6237,0.08334,0.07746,-0.0764,0.043,1
16.75,1.6277,0.0867,0.08093,-0.0761,0.0416,1
17,1.6188,0.0913,0.08582,-0.0767,0.0409,1
17.25,1.6097,0.09613,0.09092,-0.0776,0.0402,1
17.5,1.5998,0.10122,0.09626,-0.0789,0.0395,1
17.75,1.5899,0.10644,0.10172,-0.0806,0.0388,1
18,1.5792,0.11189,0.10738,-0.0826,0.0382,1
18.25,1.5679,0.11761,0.1133,-0.0851,0.0376,1
18.5,1.5575,0.12326,0.11913,-0.0878,0.037,1
18.75,1.5474,0.129,0.12503,-0.0908,0.0365,1
19,1.5392,0.13444,0.1306,-0.0937,0.036,1
19.25,1.5298,0.14028,0.13657,-0.097,0.0356,1
